"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 12, 2018","456.0","486.2","510.0","450.0","2.00K","-6.22"
"Jun 13, 2018","440.0","456.0","496.0","404.0","2.17K","-3.50"
"Jun 14, 2018","478.0","440.0","495.0","435.0","2.01K","8.63"
"Jun 15, 2018","456.0","478.0","490.0","453.0","0.69K","-4.60"
"Jun 16, 2018","463.0","456.0","465.0","450.1","0.75K","1.54"
"Jun 17, 2018","453.0","463.0","465.0","450.0","0.44K","-2.16"
"Jun 18, 2018","465.0","453.0","475.0","444.0","0.89K","2.65"
"Jun 19, 2018","465.0","465.0","481.9","455.1","1.68K","0.00"
"Jun 20, 2018","460.6","465.0","471.2","450.0","1.13K","-0.95"
"Jun 21, 2018","458.6","460.6","467.0","456.0","0.29K","-0.44"
"Jun 22, 2018","414.0","458.6","464.0","395.0","3.71K","-9.73"
"Jun 23, 2018","401.0","414.0","416.0","391.0","1.23K","-3.14"
"Jun 24, 2018","364.0","401.0","401.0","350.0","2.41K","-9.22"
"Jun 25, 2018","391.0","364.0","399.0","358.8","1.11K","7.41"
"Jun 26, 2018","360.0","391.0","395.0","360.0","1.19K","-7.93"
"Jun 27, 2018","370.1","360.0","378.0","354.0","1.13K","2.82"
"Jun 28, 2018","348.0","370.1","374.7","348.0","1.03K","-5.98"
"Jun 29, 2018","355.1","348.0","374.0","331.2","1.33K","2.03"
"Jun 30, 2018","360.1","355.1","377.0","350.0","1.30K","1.42"
"Jul 01, 2018","366.9","360.1","370.0","355.0","0.78K","1.90"
"Jul 02, 2018","394.9","366.9","399.0","352.0","1.62K","7.62"
"Jul 03, 2018","403.0","405.0","2,177.0","383.1","3.23K","2.05"
"Jul 04, 2018","404.0","403.0","30,245.0","2.2","1.67K","0.25"
"Jul 05, 2018","392.0","404.0","410.0","375.0","2.30K","-2.97"
"Jul 06, 2018","380.0","392.0","400.0","370.2","1.05K","-3.05"
"Jul 07, 2018","384.0","380.0","388.1","367.0","1.07K","1.05"
"Jul 08, 2018","376.0","384.0","390.0","376.0","0.88K","-2.08"
"Jul 09, 2018","373.1","376.0","384.4","361.0","1.65K","-0.77"
"Jul 10, 2018","358.2","373.1","380.0","351.1","1.76K","-4.00"
"Jul 11, 2018","373.8","358.2","30,150.0","2.1","1.85K","4.36"
"Jul 12, 2018","370.0","373.8","373.8","361.3","1.16K","-1.02"
"Jul 13, 2018","372.0","370.0","378.9","368.0","1.23K","0.54"
"Jul 14, 2018","374.0","372.0","375.0","370.0","0.36K","0.52"
"Jul 15, 2018","378.8","374.0","380.0","369.0","0.68K","1.29"
"Jul 16, 2018","398.2","378.8","400.0","374.0","2.30K","5.12"
"Jul 17, 2018","414.0","398.2","421.0","375.0","3.44K","3.97"
"Jul 18, 2018","411.0","414.0","442.5","399.0","3.71K","-0.73"
"Jul 19, 2018","407.5","411.0","424.0","405.0","1.40K","-0.85"
"Jul 20, 2018","392.0","407.5","35,760.0","2.2","2.08K","-3.80"
"Jul 21, 2018","402.0","392.0","405.0","386.0","0.72K","2.55"
"Jul 22, 2018","397.1","402.0","405.0","392.0","0.74K","-1.22"
"Jul 23, 2018","390.0","397.1","406.0","386.6","1.25K","-1.79"
"Jul 24, 2018","428.0","390.0","429.0","388.0","2.90K","9.74"
"Jul 25, 2018","412.1","428.0","434.0","405.5","2.12K","-3.71"
"Jul 26, 2018","400.5","412.1","418.5","400.0","1.48K","-2.82"
"Jul 27, 2018","403.5","400.5","410.0","395.0","1.35K","0.75"
"Jul 28, 2018","403.0","403.5","409.0","398.0","0.69K","-0.13"
"Jul 29, 2018","401.0","403.0","408.0","400.1","0.43K","-0.49"
"Jul 30, 2018","396.0","401.0","405.0","386.6","1.30K","-1.25"
"Jul 31, 2018","382.0","396.0","401.0","377.1","1.86K","-3.54"
"Aug 01, 2018","381.9","382.0","392.0","375.0","1.94K","-0.03"
"Aug 02, 2018","385.5","381.9","389.9","380.0","0.95K","0.94"
"Aug 03, 2018","391.5","385.5","395.0","379.0","1.25K","1.56"
"Aug 04, 2018","376.9","391.5","391.5","372.0","0.89K","-3.74"
"Aug 05, 2018","382.5","376.9","385.0","373.0","0.47K","1.50"
"Aug 06, 2018","382.5","382.5","389.0","379.0","1.12K","0.00"
"Aug 07, 2018","358.0","382.5","399.0","355.3","1.83K","-6.41"
"Aug 08, 2018","325.0","358.0","370.0","325.0","2.64K","-9.22"
"Aug 09, 2018","346.1","325.0","363.1","311.0","1.92K","6.49"
"Aug 10, 2018","365.9","346.1","388.0","345.0","2.62K","5.71"
"Aug 11, 2018","359.2","365.9","374.0","350.1","1.64K","-1.82"
"Aug 12, 2018","384.1","359.2","397.0","357.6","2.69K","6.93"
"Aug 13, 2018","389.0","384.1","405.0","371.0","2.91K","1.28"
"Aug 14, 2018","355.0","389.0","389.0","320.1","2.37K","-8.74"
"Aug 15, 2018","334.0","355.0","368.0","334.0","2.36K","-5.91"
"Aug 16, 2018","329.0","334.0","359.0","325.0","1.81K","-1.49"
"Aug 17, 2018","365.0","329.0","371.0","328.0","3.48K","10.94"
"Aug 18, 2018","349.0","365.0","366.0","338.0","2.23K","-4.39"
"Aug 19, 2018","347.5","349.0","358.0","342.0","1.69K","-0.43"
"Aug 20, 2018","336.0","347.5","354.0","335.0","2.46K","-3.30"
"Aug 21, 2018","345.5","336.0","346.5","332.0","1.49K","2.83"
"Aug 22, 2018","336.0","342.4","349.0","332.0","1.53K","-2.76"
"Aug 23, 2018","349.8","336.0","351.5","334.1","0.93K","4.10"
"Aug 24, 2018","344.0","349.8","350.5","341.5","0.52K","-1.65"
"Aug 25, 2018","343.3","344.0","349.5","342.0","0.27K","-0.22"
"Aug 26, 2018","343.0","343.3","347.8","337.0","0.41K","-0.08"
"Aug 27, 2018","353.0","343.0","364.7","341.1","1.69K","2.92"
"Aug 28, 2018","383.7","353.0","385.0","353.0","2.97K","8.69"
"Aug 29, 2018","380.1","383.7","392.2","369.0","2.92K","-0.92"
"Aug 30, 2018","377.0","380.1","382.0","368.0","1.32K","-0.83"
"Aug 31, 2018","390.0","377.0","396.9","371.1","1.62K","3.44"
"Sep 01, 2018","412.5","390.0","418.0","385.6","2.70K","5.77"
"Sep 02, 2018","409.5","412.5","417.0","395.3","2.59K","-0.71"
"Sep 03, 2018","415.0","409.5","422.7","397.0","2.50K","1.33"
"Sep 04, 2018","444.9","415.0","474.0","413.0","9.09K","7.20"
"Sep 05, 2018","380.0","444.9","454.0","380.0","7.83K","-14.59"
"Sep 06, 2018","385.0","380.0","388.0","363.0","4.89K","1.32"
"Sep 07, 2018","369.0","385.0","394.0","355.0","4.00K","-4.16"
"Sep 08, 2018","345.3","369.0","375.8","337.0","2.33K","-6.42"
"Sep 09, 2018","367.0","345.3","373.0","338.0","2.49K","6.28"
"Sep 10, 2018","354.8","367.0","372.9","351.1","1.45K","-3.34"
"Sep 11, 2018","338.0","354.8","360.0","327.1","2.26K","-4.72"
"Sep 12, 2018","329.7","338.0","339.0","306.0","3.31K","-2.45"
"Sep 13, 2018","341.0","329.7","353.9","301.0","4.45K","3.42"
"Sep 14, 2018","353.3","341.0","364.5","328.8","3.48K","3.62"
"Sep 15, 2018","352.0","353.3","365.0","346.0","2.44K","-0.39"
"Sep 16, 2018","354.0","352.0","357.3","343.0","1.46K","0.58"
"Sep 17, 2018","337.0","354.0","360.0","325.1","2.95K","-4.80"
"Sep 18, 2018","345.0","337.0","355.0","329.0","3.82K","2.38"
"Sep 19, 2018","344.7","345.0","351.8","325.0","3.53K","-0.10"
"Sep 20, 2018","347.0","344.7","350.0","334.0","4.29K","0.68"
"Sep 21, 2018","371.8","347.0","387.0","341.0","8.91K","7.14"
"Sep 22, 2018","371.0","371.8","378.5","355.1","3.04K","-0.22"
"Sep 23, 2018","379.1","371.0","398.0","366.5","3.34K","2.19"
"Sep 24, 2018","358.3","379.1","381.9","348.0","3.73K","-5.49"
"Sep 25, 2018","354.0","360.0","362.6","336.0","2.70K","-1.20"
"Sep 26, 2018","357.0","354.0","365.0","343.6","2.02K","0.84"
"Sep 27, 2018","385.0","357.0","400.0","349.1","6.76K","7.85"
"Sep 28, 2018","371.8","384.8","390.0","362.0","2.83K","-3.42"
"Sep 29, 2018","366.8","371.8","375.0","359.0","2.38K","-1.35"
"Sep 30, 2018","368.0","366.8","376.9","360.1","2.79K","0.33"
"Oct 01, 2018","360.5","369.0","376.1","355.1","2.36K","-2.02"
"Oct 02, 2018","357.0","360.5","368.8","357.0","2.10K","-0.98"
"Oct 03, 2018","350.0","357.0","362.0","343.1","1.47K","-1.96"
"Oct 04, 2018","359.0","350.0","368.8","346.3","1.23K","2.57"
"Oct 05, 2018","360.3","359.0","365.0","352.1","0.95K","0.36"
"Oct 06, 2018","358.0","360.3","362.9","350.3","0.53K","-0.64"
"Oct 07, 2018","357.5","358.0","358.4","350.2","0.75K","-0.12"
