"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 03, 2020","56.752","58.060","58.600","56.292","14.60M","-2.30%"
"Sep 02, 2020","58.087","62.697","63.168","56.658","14.91M","-7.40%"
"Sep 01, 2020","62.730","60.957","64.273","59.857","13.69M","2.91%"
"Aug 31, 2020","60.957","62.870","63.677","60.588","14.61M","-3.04%"
"Aug 30, 2020","62.870","56.952","62.883","56.931","14.95M","10.39%"
"Aug 29, 2020","56.952","57.410","58.188","56.952","11.65M","-0.80%"
"Aug 28, 2020","57.412","56.083","58.184","55.334","13.96M","2.38%"
"Aug 27, 2020","56.076","58.087","59.232","54.046","12.69M","-3.46%"
"Aug 26, 2020","58.087","58.347","59.062","57.028","11.47M","-0.45%"
"Aug 25, 2020","58.349","62.090","62.292","56.687","13.87M","-6.03%"
"Aug 24, 2020","62.092","60.546","62.987","59.973","12.77M","2.57%"
"Aug 23, 2020","60.537","60.228","61.605","58.051","12.58M","0.51%"
"Aug 22, 2020","60.228","59.181","60.497","57.789","12.52M","1.82%"
"Aug 21, 2020","59.152","62.783","63.871","58.815","16.34M","-5.78%"
"Aug 20, 2020","62.783","62.104","63.541","61.024","14.91M","1.09%"
"Aug 19, 2020","62.105","65.447","67.108","58.961","17.51M","-5.11%"
"Aug 18, 2020","65.450","67.199","68.354","63.636","20.15M","-2.60%"
"Aug 17, 2020","67.198","63.881","68.877","61.552","20.20M","5.19%"
"Aug 16, 2020","63.880","59.822","64.552","58.156","19.19M","6.70%"
"Aug 15, 2020","59.868","56.679","60.593","56.600","18.73M","5.63%"
"Aug 14, 2020","56.679","57.135","57.726","55.917","13.35M","-0.80%"
"Aug 13, 2020","57.133","54.517","57.284","51.951","16.02M","4.80%"
"Aug 12, 2020","54.516","54.102","55.018","51.726","15.00M","0.76%"
"Aug 11, 2020","54.102","58.281","59.668","52.484","14.13M","-7.17%"
"Aug 10, 2020","58.281","56.949","59.390","56.690","11.36M","2.34%"
"Aug 09, 2020","56.949","58.445","58.667","56.098","5.79M","-2.56%"
"Aug 08, 2020","58.446","57.186","58.531","56.489","6.58M","2.20%"
"Aug 07, 2020","57.186","59.043","60.995","55.082","10.73M","-3.15%"
"Aug 06, 2020","59.044","58.864","60.633","57.704","11.63M","0.31%"
"Aug 05, 2020","58.864","57.601","59.760","56.885","10.76M","2.19%"
"Aug 04, 2020","57.601","58.488","59.569","56.531","10.28M","-1.51%"
"Aug 03, 2020","58.485","56.766","60.002","55.891","11.49M","3.04%"
"Aug 02, 2020","56.760","61.637","65.098","52.585","20.58M","-7.91%"
"Aug 01, 2020","61.637","58.160","62.217","57.561","16.69M","5.99%"
"Jul 31, 2020","58.156","56.738","59.207","55.799","12.08M","2.50%"
"Jul 30, 2020","56.737","55.170","58.529","53.987","17.69M","2.85%"
"Jul 29, 2020","55.166","55.754","56.966","54.972","13.08M","-1.06%"
"Jul 28, 2020","55.756","53.263","57.706","51.794","17.79M","4.69%"
"Jul 27, 2020","53.258","48.072","55.630","47.001","19.59M","10.79%"
"Jul 26, 2020","48.073","49.154","50.738","47.690","16.21M","-2.20%"
"Jul 25, 2020","49.153","44.100","49.503","44.038","13.62M","11.46%"
"Jul 24, 2020","44.100","44.939","44.959","43.951","6.61M","-1.87%"
"Jul 23, 2020","44.939","44.984","45.644","44.522","10.99M","-0.10%"
"Jul 22, 2020","44.983","43.786","45.090","43.206","7.85M","2.74%"
"Jul 21, 2020","43.785","41.954","44.079","41.880","7.20M","4.37%"
"Jul 20, 2020","41.954","42.633","42.802","41.486","6.78M","-1.62%"
"Jul 19, 2020","42.647","42.468","42.884","41.840","6.69M","0.42%"
"Jul 18, 2020","42.468","41.892","42.848","41.749","7.35M","1.38%"
"Jul 17, 2020","41.892","42.081","42.464","41.723","8.70M","-0.45%"
"Jul 16, 2020","42.081","43.350","43.501","40.967","9.11M","-2.93%"
"Jul 15, 2020","43.350","43.896","44.070","42.900","9.51M","-1.24%"
"Jul 14, 2020","43.896","43.943","44.045","42.859","17.61M","-0.06%"
"Jul 13, 2020","43.922","44.737","45.586","42.741","24.85M","-1.82%"
"Jul 12, 2020","44.737","44.696","45.251","43.745","23.41M","0.09%"
"Jul 11, 2020","44.697","44.307","44.770","43.891","10.64M","0.88%"
"Jul 10, 2020","44.307","44.367","44.595","43.486","11.40M","-0.14%"
"Jul 09, 2020","44.368","45.333","45.866","43.587","11.85M","-2.16%"
"Jul 08, 2020","45.348","43.364","45.599","43.074","13.32M","4.57%"
"Jul 07, 2020","43.364","44.097","44.419","43.070","7.40M","-1.65%"
"Jul 06, 2020","44.093","41.657","44.208","41.523","10.93M","5.85%"
"Jul 05, 2020","41.657","42.077","42.166","40.812","5.62M","-1.00%"
"Jul 04, 2020","42.077","41.211","42.172","41.120","5.75M","2.10%"
"Jul 03, 2020","41.212","41.050","41.678","40.911","6.22M","0.39%"
"Jul 02, 2020","41.050","41.728","41.900","40.391","7.11M","-1.63%"
"Jul 01, 2020","41.728","41.194","41.964","41.016","6.19M","1.29%"
"Jun 30, 2020","41.196","41.842","42.015","40.818","6.60M","-1.53%"
"Jun 29, 2020","41.837","41.396","42.243","40.647","7.53M","1.07%"
"Jun 28, 2020","41.396","41.077","42.013","40.474","6.89M","0.77%"
"Jun 27, 2020","41.078","43.068","43.102","39.323","7.53M","-4.62%"
"Jun 26, 2020","43.070","42.336","43.517","41.435","10.30M","1.72%"
"Jun 25, 2020","42.341","42.625","42.982","41.795","7.73M","-0.67%"
"Jun 24, 2020","42.625","44.167","44.648","42.219","9.24M","-3.50%"
"Jun 23, 2020","44.171","44.292","44.486","43.907","4.65M","-0.27%"
"Jun 22, 2020","44.292","42.996","44.634","42.943","7.06M","3.01%"
"Jun 21, 2020","42.996","43.588","43.822","42.889","5.23M","-1.36%"
"Jun 20, 2020","43.590","42.887","43.853","42.367","5.93M","1.64%"
"Jun 19, 2020","42.887","43.444","43.676","42.740","4.66M","-1.28%"
"Jun 18, 2020","43.444","44.080","44.210","42.871","6.38M","-1.45%"
"Jun 17, 2020","44.083","43.868","44.705","43.085","8.15M","0.48%"
