Price,Open,High,Low,Vol.,Change %
44.478,43.148,44.787,42.792,10.24M,3.08%
42.95,44.453,45.13,42.31,7.59M,-3.43%
44.946999999999996,42.978,45.181999999999995,42.582,14.85M,4.65%
46.025,44.946999999999996,46.556000000000004,43.961999999999996,8.88M,2.40%
46.047,46.001999999999995,46.54,45.178999999999995,18.32M,0.05%
46.078,46.019,46.538000000000004,44.582,19.53M,0.07%
45.246,46.042,47.12,44.851000000000006,10.51M,-1.81%
45.696999999999996,45.195,45.857,44.953,11.04M,1.00%
46.258,45.696999999999996,46.714,45.423,10.93M,1.23%
46.276,46.266000000000005,48.477,45.324,14.41M,0.04%
44.891999999999996,46.236999999999995,46.958999999999996,43.299,10.49M,-2.99%
45.518,44.917,45.976000000000006,44.726000000000006,9.79M,1.39%
46.707,45.492,47.028999999999996,45.272,11.30M,2.61%
46.34,46.663000000000004,47.056000000000004,45.532,13.47M,-0.78%
45.982,46.332,48.266999999999996,45.55,15.51M,-0.77%
46.596000000000004,45.982,46.927,45.00899999999999,11.63M,1.34%
47.172,46.568999999999996,47.467,45.512,11.62M,1.23%
47.787,47.198,48.205,46.601000000000006,9.94M,1.30%
48.861000000000004,47.761,50.549,47.743,16.43M,2.25%
50.455,48.888000000000005,51.243,48.661,12.34M,3.26%
50.605,50.506,51.515,49.336000000000006,11.75M,0.30%
49.891999999999996,50.605,50.681999999999995,48.851000000000006,8.48M,-1.41%
49.81399999999999,49.894,50.986999999999995,49.278999999999996,10.68M,-0.15%
49.549,49.833,50.20399999999999,48.871,15.54M,-0.53%
47.581,49.556999999999995,49.857,45.623999999999995,9.54M,-3.97%
46.968,47.586000000000006,47.644,46.331,20.21M,-1.29%
47.52,46.948,47.869,46.791000000000004,30.58M,1.18%
47.997,47.549,48.453,46.791000000000004,6.96M,1.00%
46.905,48.015,48.446000000000005,46.45,8.44M,-2.28%
53.012,46.905,54.977,46.851000000000006,13.47M,13.02%
54.346000000000004,52.956,56.266999999999996,52.956,10.32M,2.52%
55.431000000000004,54.348,56.964,53.111999999999995,11.95M,2.00%
59.263000000000005,55.431000000000004,59.61,54.818000000000005,13.89M,6.91%
58.852,59.266000000000005,60.025,56.56,14.02M,-0.69%
56.826,58.852,59.33,55.076,12.76M,-3.44%
57.861000000000004,56.848,59.103,56.445,12.08M,1.82%
55.838,57.894,60.568000000000005,54.715,9.67M,-3.50%
54.937,55.751999999999995,56.541000000000004,53.425,9.75M,-1.61%
54.023,54.968999999999994,55.781000000000006,52.281000000000006,8.10M,-1.66%
55.73,54.037,56.449,53.593999999999994,7.31M,3.16%
55.636,55.732,56.223,54.131,7.27M,-0.17%
53.815,55.571999999999996,56.815,53.086000000000006,13.82M,-3.27%
53.888000000000005,53.769,54.393,51.501999999999995,9.66M,0.14%
54.603,53.891999999999996,55.223,51.585,9.08M,1.33%
58.961000000000006,54.632,59.669,54.581,8.33M,7.98%
63.13,58.891999999999996,63.659,58.611000000000004,7.77M,7.07%
58.856,63.26,64.76100000000001,57.152,9.12M,-6.77%
61.027,58.861999999999995,61.992,58.565,5.92M,3.69%
59.232,61.005,61.869,57.424,7.51M,-2.94%
57.843,59.251999999999995,59.611000000000004,57.082,6.95M,-2.34%
59.32,57.93899999999999,60.54600000000001,57.756,8.68M,2.55%
60.744,59.224,60.744,57.593,7.25M,2.40%
65.913,60.755,66.668,60.148999999999994,10.23M,8.51%
63.787,65.923,66.32600000000001,61.69,7.82M,-3.23%
62.332,63.799,64.447,61.045,9.45M,-2.28%
73.705,62.308,74.613,62.083999999999996,10.44M,18.25%
76.375,73.751,76.961,71.414,8.21M,3.62%
73.376,76.225,77.061,68.289,9.78M,-3.93%
81.527,73.354,83.186,71.48899999999999,9.07M,11.11%
82.505,81.52,85.51799999999999,80.101,8.70M,1.20%
87.48200000000001,82.579,88.37899999999999,80.488,8.95M,6.03%
44.478,43.148,44.787,42.792,10.24M,3.08%
42.95,44.453,45.13,42.31,7.59M,-3.43%
44.946999999999996,42.978,45.181999999999995,42.582,14.85M,4.65%
46.025,44.946999999999996,46.556000000000004,43.961999999999996,8.88M,2.40%
46.047,46.001999999999995,46.54,45.178999999999995,18.32M,0.05%
46.078,46.019,46.538000000000004,44.582,19.53M,0.07%
45.246,46.042,47.12,44.851000000000006,10.51M,-1.81%
45.696999999999996,45.195,45.857,44.953,11.04M,1.00%
46.258,45.696999999999996,46.714,45.423,10.93M,1.23%
46.276,46.266000000000005,48.477,45.324,14.41M,0.04%
44.891999999999996,46.236999999999995,46.958999999999996,43.299,10.49M,-2.99%
45.518,44.917,45.976000000000006,44.726000000000006,9.79M,1.39%
