"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 03, 2020","47.444","58.060","58.600","45.646","16.63M","-18.32%"
"Sep 04, 2020","50.353","47.470","52.364","46.612","16.21M","6.13%"
"Sep 05, 2020","47.812","50.364","51.241","45.562","17.37M","-5.05%"
"Sep 06, 2020","47.914","47.812","49.137","46.303","13.79M","0.21%"
"Sep 07, 2020","48.839","47.910","49.137","45.262","14.21M","1.93%"
"Sep 08, 2020","47.458","48.839","49.337","46.035","15.52M","-2.83%"
"Sep 09, 2020","47.834","47.460","48.815","46.540","12.84M","0.79%"
"Sep 10, 2020","48.669","47.833","49.429","47.785","13.86M","1.75%"
"Sep 11, 2020","48.927","48.669","49.395","47.430","12.74M","0.53%"
"Sep 12, 2020","50.828","48.927","51.309","48.374","14.21M","3.88%"
"Sep 13, 2020","48.156","50.833","51.020","47.316","9.46M","-5.26%"
"Sep 14, 2020","49.081","48.153","49.618","47.133","10.63M","1.92%"
"Sep 15, 2020","48.316","49.114","50.280","48.127","8.99M","-1.56%"
"Sep 16, 2020","47.730","48.294","48.734","46.997","9.69M","-1.21%"
"Sep 17, 2020","48.858","47.762","49.542","47.629","8.62M","2.36%"
"Sep 18, 2020","48.557","48.832","49.067","47.529","10.95M","-0.62%"
"Sep 19, 2020","48.492","48.539","48.989","47.952","10.23M","-0.13%"
"Sep 20, 2020","47.076","48.492","48.527","46.201","9.82M","-2.92%"
"Sep 21, 2020","43.147","47.118","47.656","41.932","10.77M","-8.35%"
"Sep 22, 2020","44.478","43.148","44.787","42.792","10.24M","3.08%"
"Sep 23, 2020","42.950","44.453","45.130","42.310","7.59M","-3.43%"
"Sep 24, 2020","44.947","42.978","45.182","42.582","14.85M","4.65%"
"Sep 25, 2020","46.025","44.947","46.556","43.962","8.88M","2.40%"
"Sep 26, 2020","46.047","46.002","46.540","45.179","18.32M","0.05%"
"Sep 27, 2020","46.078","46.019","46.538","44.582","19.53M","0.07%"
"Sep 28, 2020","45.246","46.042","47.120","44.851","10.51M","-1.81%"
"Sep 29, 2020","45.697","45.195","45.857","44.953","11.04M","1.00%"
"Sep 30, 2020","46.258","45.697","46.714","45.423","10.93M","1.23%"
"Oct 01, 2020","46.276","46.266","48.477","45.324","14.41M","0.04%"
"Oct 02, 2020","44.892","46.237","46.959","43.299","10.49M","-2.99%"
"Oct 03, 2020","45.518","44.917","45.976","44.726","9.79M","1.39%"
"Oct 04, 2020","46.707","45.492","47.029","45.272","11.30M","2.61%"
"Oct 05, 2020","46.340","46.663","47.056","45.532","13.47M","-0.78%"
"Oct 06, 2020","45.982","46.332","48.267","45.550","15.51M","-0.77%"
"Oct 07, 2020","46.596","45.982","46.927","45.009","11.63M","1.34%"
"Oct 08, 2020","47.172","46.569","47.467","45.512","11.62M","1.23%"
"Oct 09, 2020","47.787","47.198","48.205","46.601","9.94M","1.30%"
"Oct 10, 2020","48.861","47.761","50.549","47.743","16.43M","2.25%"
"Oct 11, 2020","50.455","48.888","51.243","48.661","12.34M","3.26%"
"Oct 12, 2020","50.212","50.506","50.816","49.711","15.33M","-0.48%"
